Condition,Union /27,Majority /27,Found 3/3,Listed /11,Omitted /16,Groups/run,Findings /run,Cost /run,Turns,Tool calls,Grep calls
C0,6,2,1,2,4,1.00,6.9,$0.076,18.4,41.8,1.7
C1,6,3,1,3,3,1.11,7.4,$0.067,18.7,40.6,3.1
C2,8,3,0,2,6,1.22,6.9,$0.069,18.4,40.1,2.8
C3,8,6,4,2,6,2.00,8.0,$0.068,18.7,41.0,2.4
C4,6,2,0,2,4,0.89,5.9,$0.072,18.7,41.7,2.4
C5,8,3,3,3,5,1.56,10.3,$0.078,18.2,42.0,3.8
C6,7,4,2,3,4,1.44,9.6,$0.085,20.2,43.1,5.4
C7,9,3,3,3,6,1.67,10.3,$0.066,17.3,39.2,1.8
C8,10,2,1,5,5,1.44,7.6,$0.092,20.3,44.8,4.9
C9,7,4,3,3,4,1.56,10.7,$0.074,19.4,40.3,2.6
